crecimiento_poblacional,consumo_medio_anual,tasa_decrecimiento_reservas,precipitaciones_anuales,temperatura_promedio,año_escasez_agua
Alto,Consumo moderado,Rápido,Seco,Cálido,2061
Bajo,Alto consumo,Moderado,Moderado,Cálido,2039
Alto,Alto consumo,Lento,Húmedo,Cálido,2075
Bajo,Bajo consumo,Moderado,Moderado,Cálido,2072
Alto,Consumo moderado,Moderado,Moderado,Templado,2032
Alto,Bajo consumo,Moderado,Seco,Templado,2037
Alto,Alto consumo,Lento,Húmedo,Templado,2072
Alto,Bajo consumo,Lento,Húmedo,Frío,2027
Alto,Bajo consumo,Lento,Seco,Cálido,2089
Medio,Bajo consumo,Lento,Húmedo,Cálido,2097
Alto,Bajo consumo,Rápido,Seco,Templado,2055
Medio,Alto consumo,Lento,Moderado,Frío,2050
Alto,Alto consumo,Moderado,Moderado,Frío,2080
Medio,Consumo moderado,Lento,Seco,Frío,2058
Medio,Bajo consumo,Rápido,Moderado,Templado,2033
Bajo,Bajo consumo,Rápido,Moderado,Frío,2086
Alto,Consumo moderado,Rápido,Seco,Frío,2037
Bajo,Bajo consumo,Moderado,Moderado,Frío,2093
Bajo,Consumo moderado,Lento,Húmedo,Cálido,2065
Alto,Alto consumo,Lento,Moderado,Templado,2025
Bajo,Consumo moderado,Lento,Seco,Cálido,2071
Alto,Bajo consumo,Moderado,Húmedo,Cálido,2028
Bajo,Consumo moderado,Moderado,Húmedo,Templado,2087
Alto,Alto consumo,Rápido,Moderado,Cálido,2076
Alto,Bajo consumo,Rápido,Húmedo,Frío,2034
Alto,Alto consumo,Lento,Seco,Frío,2052
Medio,Alto consumo,Moderado,Húmedo,Frío,2030
Bajo,Consumo moderado,Moderado,Moderado,Frío,2051
Medio,Alto consumo,Lento,Moderado,Templado,2036
Bajo,Bajo consumo,Lento,Húmedo,Cálido,2086
Bajo,Alto consumo,Rápido,Seco,Cálido,2076
Bajo,Alto consumo,Rápido,Seco,Frío,2072
Medio,Consumo moderado,Rápido,Moderado,Frío,2091
Bajo,Alto consumo,Lento,Moderado,Cálido,2070
Medio,Consumo moderado,Lento,Seco,Templado,2098
Alto,Consumo moderado,Rápido,Húmedo,Cálido,2039
Bajo,Bajo consumo,Rápido,Húmedo,Frío,2095
Bajo,Bajo consumo,Moderado,Húmedo,Frío,2060
Alto,Bajo consumo,Moderado,Húmedo,Templado,2038
Alto,Bajo consumo,Rápido,Seco,Cálido,2027
Bajo,Consumo moderado,Rápido,Moderado,Templado,2091
Alto,Alto consumo,Moderado,Moderado,Templado,2043
Medio,Bajo consumo,Rápido,Húmedo,Frío,2078
Medio,Bajo consumo,Moderado,Seco,Cálido,2093
Bajo,Bajo consumo,Moderado,Seco,Frío,2034
Medio,Alto consumo,Moderado,Húmedo,Cálido,2057
Medio,Bajo consumo,Lento,Húmedo,Frío,2037
Bajo,Alto consumo,Lento,Húmedo,Frío,2075
Alto,Consumo moderado,Rápido,Moderado,Cálido,2056
Bajo,Consumo moderado,Moderado,Húmedo,Cálido,2099
Medio,Consumo moderado,Lento,Moderado,Frío,2048
Bajo,Alto consumo,Rápido,Seco,Cálido,2059
Bajo,Bajo consumo,Rápido,Seco,Frío,2094
Medio,Bajo consumo,Rápido,Moderado,Cálido,2064
Medio,Bajo consumo,Rápido,Moderado,Frío,2078
Bajo,Bajo consumo,Rápido,Moderado,Frío,2068
Medio,Bajo consumo,Moderado,Moderado,Frío,2086
Medio,Alto consumo,Rápido,Húmedo,Templado,2092
Medio,Consumo moderado,Moderado,Seco,Cálido,2057
Medio,Bajo consumo,Lento,Húmedo,Frío,2080
Medio,Consumo moderado,Rápido,Moderado,Templado,2060
Medio,Alto consumo,Lento,Húmedo,Frío,2078
Alto,Alto consumo,Moderado,Húmedo,Templado,2043
Bajo,Bajo consumo,Moderado,Seco,Frío,2067
Medio,Alto consumo,Lento,Húmedo,Frío,2036
Bajo,Consumo moderado,Rápido,Seco,Templado,2035
Alto,Bajo consumo,Rápido,Moderado,Templado,2094
Medio,Bajo consumo,Lento,Húmedo,Cálido,2036
Bajo,Consumo moderado,Lento,Moderado,Cálido,2065
Medio,Bajo consumo,Lento,Seco,Templado,2049
Medio,Bajo consumo,Rápido,Moderado,Cálido,2027
Medio,Consumo moderado,Rápido,Moderado,Templado,2027
Medio,Bajo consumo,Rápido,Seco,Cálido,2052
Medio,Bajo consumo,Lento,Moderado,Frío,2047
Medio,Consumo moderado,Rápido,Moderado,Cálido,2072
Medio,Alto consumo,Moderado,Moderado,Frío,2091
Alto,Consumo moderado,Lento,Húmedo,Frío,2066
Alto,Bajo consumo,Rápido,Moderado,Cálido,2064
Medio,Consumo moderado,Lento,Seco,Templado,2030
Medio,Bajo consumo,Moderado,Húmedo,Frío,2044
Alto,Bajo consumo,Moderado,Húmedo,Frío,2035
Alto,Consumo moderado,Lento,Seco,Cálido,2051
Alto,Bajo consumo,Lento,Moderado,Templado,2045
Medio,Alto consumo,Moderado,Húmedo,Templado,2037
Bajo,Bajo consumo,Lento,Húmedo,Cálido,2059
Bajo,Consumo moderado,Moderado,Húmedo,Templado,2071
Bajo,Alto consumo,Moderado,Moderado,Cálido,2052
Bajo,Alto consumo,Rápido,Húmedo,Cálido,2045
Medio,Bajo consumo,Lento,Seco,Cálido,2042
Bajo,Consumo moderado,Lento,Moderado,Frío,2055
Alto,Bajo consumo,Rápido,Seco,Frío,2084
Alto,Bajo consumo,Moderado,Seco,Frío,2061
Bajo,Consumo moderado,Lento,Húmedo,Cálido,2045
Alto,Consumo moderado,Rápido,Húmedo,Frío,2038
Medio,Bajo consumo,Rápido,Húmedo,Frío,2084
Bajo,Alto consumo,Lento,Seco,Frío,2047
Bajo,Bajo consumo,Rápido,Moderado,Cálido,2053
Medio,Alto consumo,Moderado,Húmedo,Cálido,2071
Alto,Bajo consumo,Rápido,Húmedo,Cálido,2054
Medio,Consumo moderado,Moderado,Seco,Frío,2062
Medio,Alto consumo,Moderado,Moderado,Templado,2051
Alto,Consumo moderado,Lento,Seco,Frío,2039
Medio,Consumo moderado,Rápido,Húmedo,Frío,2083
Alto,Consumo moderado,Moderado,Seco,Cálido,2027
Alto,Consumo moderado,Moderado,Húmedo,Cálido,2034
Medio,Consumo moderado,Rápido,Moderado,Frío,2041
Alto,Bajo consumo,Moderado,Seco,Frío,2035
Medio,Alto consumo,Rápido,Húmedo,Templado,2072
Alto,Bajo consumo,Lento,Húmedo,Templado,2029
Bajo,Bajo consumo,Moderado,Húmedo,Cálido,2093
Alto,Bajo consumo,Moderado,Húmedo,Templado,2088
Alto,Consumo moderado,Rápido,Seco,Templado,2038
Medio,Bajo consumo,Rápido,Húmedo,Cálido,2074
Alto,Alto consumo,Rápido,Seco,Templado,2050
Bajo,Bajo consumo,Rápido,Húmedo,Frío,2096
Bajo,Consumo moderado,Moderado,Seco,Templado,2093
Alto,Alto consumo,Lento,Seco,Cálido,2031
Alto,Alto consumo,Lento,Húmedo,Frío,2040
Bajo,Alto consumo,Lento,Húmedo,Templado,2079
Medio,Alto consumo,Lento,Húmedo,Frío,2080
Bajo,Bajo consumo,Rápido,Húmedo,Frío,2028
Bajo,Consumo moderado,Moderado,Moderado,Templado,2072
Alto,Alto consumo,Moderado,Húmedo,Templado,2041
Alto,Alto consumo,Moderado,Húmedo,Cálido,2060
Bajo,Consumo moderado,Rápido,Húmedo,Cálido,2094
Medio,Bajo consumo,Moderado,Seco,Frío,2062
Bajo,Alto consumo,Rápido,Húmedo,Cálido,2086
Bajo,Bajo consumo,Moderado,Seco,Frío,2072
Medio,Bajo consumo,Lento,Seco,Frío,2034
Bajo,Bajo consumo,Rápido,Seco,Cálido,2060
Bajo,Bajo consumo,Moderado,Seco,Cálido,2053
Alto,Alto consumo,Lento,Moderado,Cálido,2028
Medio,Alto consumo,Lento,Húmedo,Templado,2068
Alto,Bajo consumo,Lento,Seco,Frío,2080
